seed,model,train_ratio,epoch,train_samples,source_loads,target_load,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift,train_loss,train_acc,train_macro_f1,source_val_loss,source_val_acc,source_val_macro_f1
42,CNN1D,0.5,5,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.3157057691422367,0.9678085018572018,0.9685282954058468,0.198775823234381,0.9593143676278792,0.9536871638003576
42,CNN1D,0.5,6,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.2321967977755236,0.9830788278992983,0.9834345249702905,0.13617392540577714,0.9860701748338131,0.9858074570511984
42,CNN1D,0.5,7,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.18069553181522896,0.9830788278992983,0.9834135419414114,0.16138782168671748,0.954044323625998,0.9442597129478311
42,CNN1D,0.5,8,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.15267971792695348,0.9876186545604623,0.9878603908885852,0.08171120721031577,0.99327352327766,0.9932273891834923
42,CNN1D,0.5,9,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.11589753146241433,0.9900949236483698,0.9902965541454721,0.056407135975888034,0.9980673768033507,0.9980879680323778
42,CNN1D,0.5,10,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.09877335228520978,0.9938093272802311,0.9939033947515853,0.0673419182770501,0.9894836858162263,0.9892383589999089
42,CNN1D,1.0,1,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.3878054045572528,0.707357172215372,0.6807295992495689,0.7174113063587108,0.8098483285276812,0.7631641430484223
42,CNN1D,1.0,2,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.5635593945334294,0.9311549527332511,0.9312093794319132,0.2870557856236471,0.9616484536141705,0.957815724523293
42,CNN1D,1.0,3,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.3033465091652014,0.9665022605836416,0.9671078956621632,0.1881433915933083,0.9584863057379733,0.9499867336195194
42,CNN1D,1.0,4,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.18293092145970757,0.9845869297163995,0.984884524818253,0.07765680471244918,0.9942524030312955,0.9942531518955153
42,CNN1D,1.0,5,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.12820788947241424,0.9909576654336211,0.9911195431393495,0.04920386616968988,0.9994979919678716,0.9995237852271375
42,CNN1D,1.0,6,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.09139622541498951,0.9954788327168105,0.9955555960919028,0.05985424924232243,0.9899605575377333,0.9897012777490763
42,CNN1D,1.0,7,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.07369354753106208,0.9960953555281545,0.9961629762624552,0.03292245647168324,0.9985442485248576,0.9985712098716227
42,CNN1D,1.0,8,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.06514062807484512,0.9956843403205918,0.9957554441425451,0.02583718962289182,0.9994979919678716,0.9995237852271375
42,CNN1D,1.0,9,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.05371518401858545,0.9958898479243732,0.9959637652041717,0.08704895489550808,0.967951774397816,0.9620354383708857
42,CNN1D,1.0,10,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.04508704517880341,0.9958898479243732,0.9959601409308314,0.03303316274358208,0.9913660363916322,0.9913275459568647
42,CNN-BiLSTM-Attention,0.1,1,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.3177557718955866,0.1461864406779661,0.13186443535561138,2.2803104545192756,0.10185491608781334,0.018512222636198044
42,CNN-BiLSTM-Attention,0.1,2,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.2901721364360745,0.13347457627118645,0.11469064664943118,2.2371002953561216,0.4395867590533809,0.2985719362427942
42,CNN-BiLSTM-Attention,0.1,3,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.234770665734501,0.19703389830508475,0.16913294803825127,2.15621224401291,0.28846997636981614,0.18722166727182435
42,CNN-BiLSTM-Attention,0.1,4,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.1520828311726197,0.2733050847457627,0.235328657149325,1.9903255549193213,0.42267396584088246,0.3518359426260244
42,CNN-BiLSTM-Attention,0.1,5,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.9970346608404386,0.326271186440678,0.3014541254784245,1.7818237100259051,0.35865223821917547,0.27913936974511516
42,CNN-BiLSTM-Attention,0.1,6,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.7602867130505837,0.4046610169491525,0.36189761043975377,1.4821898601006218,0.5977007806414704,0.5420870677889899
42,CNN-BiLSTM-Attention,0.1,7,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.5012267787577742,0.5444915254237288,0.5261833620114084,1.2119427892737418,0.7042035380434472,0.6569451202760713
42,CNN-BiLSTM-Attention,0.1,8,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.2879945888357647,0.6059322033898306,0.582438762439316,1.00620605706051,0.7900520003578589,0.7457228095887721
42,CNN-BiLSTM-Attention,0.1,9,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.08874615370217,0.7288135593220338,0.7075214784498733,0.8308183771113938,0.7860080748089434,0.7505090549921736
42,CNN-BiLSTM-Attention,0.1,10,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.8864908774020308,0.7711864406779662,0.7619356125323471,0.6728180312289918,0.8743366722561614,0.8568887753030974
42,CNN-BiLSTM-Attention,0.3,1,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.2998043152700247,0.13217993079584775,0.11422402029041126,2.1995752941502342,0.11971858412599919,0.047452197608882994
42,CNN-BiLSTM-Attention,0.3,2,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.032448530857126,0.33148788927335643,0.2888310170828362,1.6374920723719715,0.5152795280857746,0.4357965428296872
42,CNN-BiLSTM-Attention,0.3,3,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.42705355796022,0.5557093425605536,0.5264617913982026,0.994169588570216,0.8285617885398122,0.8163605597073289
42,CNN-BiLSTM-Attention,0.3,4,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.8552182776705204,0.8089965397923875,0.8082006006318363,0.5287505046933614,0.9434689134629668,0.9444400473568569
42,CNN-BiLSTM-Attention,0.3,5,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.5186827721686512,0.8795847750865052,0.8799396006682919,0.2683592150619173,0.9447079058108584,0.9413538092774933
42,CNN-BiLSTM-Attention,0.3,6,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.328796707944474,0.9342560553633218,0.9342158039225186,0.20287343296809834,0.9506817295751574,0.9488864736966356
42,CNN-BiLSTM-Attention,0.3,7,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.24285829595216005,0.9439446366782007,0.9446264012177327,0.1498283436840441,0.9767093388883555,0.9770078202533838
42,CNN-BiLSTM-Attention,0.3,8,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.21160178090668055,0.9494809688581315,0.9501526704808004,0.1238506933866,0.9668193148641983,0.9653217947783878
42,CNN-BiLSTM-Attention,0.3,9,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.16223233986684607,0.9612456747404844,0.9616465076858056,0.10176459351683716,0.97746131060108,0.9779428971106334
42,CNN-BiLSTM-Attention,0.3,10,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.16289576335349298,0.9536332179930795,0.954207414193481,0.08845892422869478,0.9780129100091353,0.9781051579908325
42,CNN-BiLSTM-Attention,0.5,1,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.207286089056049,0.21254643004539828,0.20104620977277707,1.7636396345436982,0.5042034026151612,0.4422661857954391
42,CNN-BiLSTM-Attention,0.5,2,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.3167397942712276,0.6104003301692117,0.5810287877233627,0.6878402029848241,0.9263572171375056,0.9221243691154596
42,CNN-BiLSTM-Attention,0.5,3,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.5593767340425317,0.8732975650020636,0.8725415658479161,0.28288963623971514,0.925688041354053,0.9174384687588666
42,CNN-BiLSTM-Attention,0.5,4,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.30307634302126296,0.9323153115971936,0.9324146921277945,0.13635896156184782,0.97806863259291,0.9782234654729085
42,CNN-BiLSTM-Attention,0.5,5,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.20981770948811695,0.9554271564176641,0.9558535245400904,0.0887252195934281,0.9839874150187508,0.9840582795792795
42,CNN-BiLSTM-Attention,0.5,6,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.14059135939555378,0.9694593479158069,0.969886186965161,0.07188081880918563,0.9853670763167117,0.9854769002734419
42,CNN-BiLSTM-Attention,0.5,7,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.1102749268673099,0.9731737515476682,0.9736526142278361,0.06183195416335377,0.9863710923809688,0.9863983794975569
42,CNN-BiLSTM-Attention,0.5,8,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.11620814991585243,0.9731737515476682,0.9735039660520656,0.05408595325251653,0.9852672123195418,0.9856501904258718
42,CNN-BiLSTM-Attention,0.5,9,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.09966735963087361,0.9723483285183656,0.9727998599057812,0.052789549429798334,0.9831858149951124,0.9836538021684245
42,CNN-BiLSTM-Attention,0.5,10,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.09594519304136968,0.9735864630623194,0.9739057568506226,0.07495709599692782,0.9800223046282822,0.9799068669701256
42,CNN-BiLSTM-Attention,1.0,1,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.7790621166311562,0.40197287299630086,0.3805270911042968,0.7566242295431295,0.8160021570032429,0.7840649370563836
42,CNN-BiLSTM-Attention,1.0,2,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.43864179289590854,0.9140978216193999,0.9138240206932412,0.15481059598338387,0.9517373807512906,0.9498632139109201
