seed,model,train_ratio,selected_epoch,train_samples,source_loads,source_val_acc,source_val_macro_f1,source_val_loss,target_load,target_test_acc,target_test_macro_f1,target_test_loss,elapsed_seconds,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift
42,CNN1D,0.1,10,482,0+1+2,0.8428440965989443,0.8112562921657652,0.6761823164969951,3,0.7360912981455064,0.6887575596420202,1.0422790140211158,2.618253707885742,True,0.8,1.2,10.0,30.0,64
42,CNN1D,0.3,10,1456,0+1+2,0.9855681668016846,0.9853334925402045,0.13418503020261205,3,0.8473609129814551,0.8134016589768802,0.5037631965992965,4.521696329116821,True,0.8,1.2,10.0,30.0,64
42,CNN1D,0.5,9,2429,0+1+2,0.9994979919678716,0.9995237852271375,0.0535507916790647,3,0.8787446504992867,0.8476066225576989,0.41435322934992813,6.908334016799927,True,0.8,1.2,10.0,30.0,64
42,CNN1D,1.0,5,4866,0+1+2,0.9994979919678716,0.9995237852271375,0.04920386616968988,3,0.8987161198288159,0.8655524877568841,0.39060608240192524,12.965246200561523,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM,0.1,10,482,0+1+2,0.9148972714893912,0.899447049264845,0.5971766888836069,3,0.8231098430813124,0.7777302243798532,0.8310715557845275,2.574934720993042,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM,0.3,8,1456,0+1+2,0.9839398673787733,0.9841424723887231,0.11113981995560697,3,0.7075606276747504,0.6546142482269945,0.6098935331793213,5.067230939865112,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM,0.5,9,2429,0+1+2,0.9888057236097465,0.9888975651300513,0.039937200414941816,3,0.8958630527817404,0.889004128541442,0.24037397758817344,7.739596366882324,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM,1.0,10,4866,0+1+2,0.9898851486058685,0.9898772940208483,0.031305251997566626,3,0.8972895863052782,0.8811065049654297,0.25383945526927176,14.269755363464355,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM-Attention,0.1,10,482,0+1+2,0.9535524973386291,0.9541732436833623,0.5571943281400227,3,0.6890156918687589,0.6422969621464789,0.8805876381046932,2.676835060119629,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM-Attention,0.3,8,1456,0+1+2,0.9824304370558056,0.982639992816853,0.09847466625771438,3,0.9044222539229672,0.8970298767939842,0.24643052876867172,5.40200662612915,True,0.8,1.2,10.0,30.0,64
