model,train_ratio,selected_epoch,train_samples,source_loads,source_val_acc,source_val_macro_f1,source_val_loss,target_load,target_test_acc,target_test_macro_f1,target_test_loss,elapsed_seconds
CNN1D,0.1,9,482,0+1+2,0.970232144601295,0.969387765195577,0.2959098561724966,3,0.7803138373751783,0.7364030352503061,0.7258856466170215,3.013681650161743
CNN1D,0.3,5,1456,0+1+2,0.9994979919678716,0.9995237852271375,0.10384703056716059,3,0.8744650499286734,0.847886518494484,0.5458454207627478,3.36401629447937
CNN1D,0.5,5,2429,0+1+2,1.0,1.0,0.0377445495828474,3,0.8273894436519258,0.803101659081993,0.5026258279153607,4.193911075592041
CNN1D,1.0,5,4866,0+1+2,1.0,1.0,0.02358583205564301,3,0.797432239657632,0.7478440078440078,0.5683460906254242,7.7697930335998535
SE-ResNet1D,0.1,10,482,0+1+2,0.9945030479572079,0.9947513294488411,0.03374613235668086,3,0.7646219686162625,0.7219458877811757,0.7620310092854466,5.5371856689453125
SE-ResNet1D,0.3,7,1456,0+1+2,0.9995231282784931,0.9995237852271375,0.011670675226117084,3,0.8801711840228246,0.8742717878775033,0.352974099653126,10.81420612335205
SE-ResNet1D,0.5,7,2429,0+1+2,0.9994979919678716,0.9995237852271375,0.004281230865565791,3,0.8416547788873039,0.8037838057999348,0.7792738538292554,15.633164405822754
SE-ResNet1D,1.0,8,4866,0+1+2,1.0,1.0,0.0038483304123255596,3,0.854493580599144,0.8395123616366732,0.3752720498286597,30.141522645950317
