model,train_ratio,selected_epoch,train_samples,target_load,best_test_acc,best_test_macro_f1,best_test_loss,elapsed_seconds
CNN1D,0.1,10,482,3,0.8245363766048502,0.8068457752255946,0.6534801683735405,2.4563465118408203
CNN1D,0.3,9,1456,3,0.9001426533523538,0.8634210526315791,0.43393468436985655,2.657088279724121
CNN1D,0.5,7,2429,3,0.8987161198288159,0.8646656655287048,0.38902190212856513,3.83870267868042
CNN1D,1.0,7,4866,3,0.9101283880171184,0.8851370851370852,0.2896739068213909,7.530542850494385
SE-ResNet1D,0.1,4,482,3,0.9372325249643366,0.929851654730227,0.2685394116840757,4.02880334854126
SE-ResNet1D,0.3,9,1456,3,0.8901569186875892,0.8794447074708259,0.3216892025658008,8.273309707641602
SE-ResNet1D,0.5,7,2429,3,0.9243937232524965,0.924803216806124,0.17248986066636576,12.865834951400757
SE-ResNet1D,1.0,8,4866,3,0.9800285306704708,0.9800699960927683,0.04639469744363925,24.863362073898315
