seed,model,train_ratio,epoch,train_samples,source_loads,target_load,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift,train_loss,train_acc,train_macro_f1,source_val_loss,source_val_acc,source_val_macro_f1
42,CNN1D,0.3,7,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.37691577843257357,0.9629120879120879,0.9634172390959523,0.2591193522978998,0.9519602013203027,0.942818381378022
42,CNN1D,0.3,8,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.30998936492008167,0.967032967032967,0.9677208026857684,0.21015422745464749,0.966718806556699,0.9626220986176027
42,CNN1D,0.3,9,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.26286508847068957,0.9739010989010989,0.9743265290573309,0.16377615793446054,0.9826566638513999,0.9822517231325433
42,CNN1D,0.3,10,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.2202548962700498,0.9745879120879121,0.9750578617619498,0.13418503020261205,0.9855681668016846,0.9853334925402045
42,CNN1D,0.5,1,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.747488244515282,0.5187319884726225,0.48049167193060455,1.3701470402227738,0.6659526436011777,0.5885919142038183
42,CNN1D,0.5,2,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.0337922809152458,0.8106216550020584,0.7864174243167477,0.7256797324913661,0.8350009028552386,0.8014558135948268
42,CNN1D,0.5,3,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.662690827757206,0.9036640592836558,0.9015957507949304,0.413071871579302,0.9419703132989756,0.9314403260763223
42,CNN1D,0.5,4,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.45020656597471964,0.9543021819678881,0.9549807104930691,0.30129265173077213,0.9582098063211357,0.9535502362165826
42,CNN1D,0.5,5,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.31983122332638897,0.968299711815562,0.9688573990214688,0.183291337373558,0.9855178941804414,0.9854241699104643
42,CNN1D,0.5,6,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.23848305662235836,0.9794153972828324,0.9798039016363965,0.16316301544894365,0.9612972634457716,0.9561806902568954
42,CNN1D,0.5,7,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.1858835172240947,0.986002470152326,0.9862866629042368,0.10487794389429395,0.9860701748338131,0.9858074570511984
42,CNN1D,0.5,8,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.15645031083165103,0.9855907780979827,0.9859045271641653,0.09459843416264783,0.9976156413924654,0.9976030995534542
42,CNN1D,0.5,9,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.12140687990024189,0.9921778509674763,0.9923279171117662,0.0535507916790647,0.9994979919678716,0.9995237852271375
42,CNN1D,0.5,10,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.10072258193032052,0.9938246191848498,0.9939319788602633,0.04495250727367616,0.9994979919678716,0.9995237852271375
42,CNN1D,1.0,1,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.3878054045572528,0.707357172215372,0.6807295992495689,0.7174113063587108,0.8098483285276812,0.7631641430484223
42,CNN1D,1.0,2,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.5635593945334294,0.9311549527332511,0.9312093794319132,0.2870557856236471,0.9616484536141705,0.957815724523293
42,CNN1D,1.0,3,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.3033465091652014,0.9665022605836416,0.9671078956621632,0.1881433915933083,0.9584863057379733,0.9499867336195194
42,CNN1D,1.0,4,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.18293092145970757,0.9845869297163995,0.984884524818253,0.07765680471244918,0.9942524030312955,0.9942531518955153
42,CNN1D,1.0,5,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.12820788947241424,0.9909576654336211,0.9911195431393495,0.04920386616968988,0.9994979919678716,0.9995237852271375
42,CNN1D,1.0,6,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.09139622541498951,0.9954788327168105,0.9955555960919028,0.05985424924232243,0.9899605575377333,0.9897012777490763
42,CNN1D,1.0,7,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.07369354753106208,0.9960953555281545,0.9961629762624552,0.03292245647168324,0.9985442485248576,0.9985712098716227
42,CNN1D,1.0,8,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.06514062807484512,0.9956843403205918,0.9957554441425451,0.02583718962289182,0.9994979919678716,0.9995237852271375
42,CNN1D,1.0,9,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.05371518401858545,0.9958898479243732,0.9959637652041717,0.08704895489550808,0.967951774397816,0.9620354383708857
42,CNN1D,1.0,10,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.04508704517880341,0.9958898479243732,0.9959601409308314,0.03303316274358208,0.9913660363916322,0.9913275459568647
42,CNN-BiLSTM,0.1,1,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.3334153935127735,0.0995850622406639,0.08820537511554764,2.255105933067601,0.20275608873261286,0.06788503922090755
42,CNN-BiLSTM,0.1,2,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.272917596136386,0.11618257261410789,0.08860996082063799,2.20976591529609,0.29414288258695936,0.1762336256487288
