target_load,source_loads,selected_epoch,mean_source_val_acc,mean_source_val_macro_f1,target_test_acc,target_test_macro_f1,target_test_loss,train_samples,target_test_samples,elapsed_seconds
0,1+2+3,2,1.0,1.0,0.9849397590361446,0.9854281169834062,0.043825853270961036,4950,664,28.06612253189087
1,0+2+3,6,1.0,1.0,0.9985693848354793,0.9985713556814122,0.009204061813729127,4869,699,26.25993037223816
2,0+1+3,3,0.9994979919678716,0.9995237852271375,1.0,1.0,0.007145229957199522,4869,700,25.967957258224487
3,0+1+2,8,1.0,1.0,0.9029957203994294,0.8970294662632663,0.37652367625877753,4866,701,25.677738189697266
