epoch,train_loss,train_acc,train_macro_f1,test_loss,test_acc,test_macro_f1
1,0.22233527217371243,0.9429272783062289,0.9435021967035894,0.0205454978833781,0.9989146164978292,0.9989272753535158
2,0.03670472463569454,0.9904878797177048,0.990602891968372,0.7208890765454713,0.7539797395079595,0.7489631226092623
3,0.017091963875263783,0.9969315741024855,0.9969701303974035,0.01636844296330133,0.9974674384949349,0.9974986310349282
4,0.00511570588683286,0.9993863148204971,0.9993937089550269,0.003117239746459195,0.9992764109985528,0.9992857051748109
5,0.0030530050789709332,1.0,1.0,0.0029041437643520162,0.9992764109985528,0.9992857051748109
6,0.0031826696579020796,0.9992328935256214,0.9992428800888863,0.0009852528370745926,0.9996382054992764,0.9996428560040052
7,0.012826412440377369,0.9967781528076097,0.9968183895782741,1.2615709281114666,0.557163531114327,0.47195264909013196
8,0.013191227144874626,0.9975452592819883,0.9975736677553716,0.04724448760191708,0.984081041968162,0.9841402521448867
9,0.0015774547624408607,0.9998465787051243,0.999848484761527,0.0013688180958739294,0.9992764109985528,0.9992857051748109
10,0.0018981378064870929,1.0,1.0,0.0006454787874536018,1.0,1.0
