model,train_ratio,epoch,train_samples,target_load,train_loss,train_acc,train_macro_f1,test_loss,test_acc,test_macro_f1
CNN1D,0.3,8,1456,3,0.048865076850403796,1.0,1.0,0.532344898424203,0.8530670470756063,0.8237831051390373
CNN1D,0.3,9,1456,3,0.04365336872473523,0.9993131868131868,0.9993243166124521,0.43393468436985655,0.9001426533523538,0.8634210526315791
CNN1D,0.3,10,1456,3,0.035250488750554705,1.0,1.0,0.47698907903561666,0.8587731811697575,0.8352134969415907
CNN1D,0.5,1,2429,3,1.3906141970568893,0.6661177439275422,0.6402075783882427,1.4509757185373429,0.5121255349500713,0.42445046672688946
CNN1D,0.5,2,2429,3,0.50582236376698,0.9567723342939481,0.9569223398832959,0.8577164886213743,0.7574893009985735,0.7056816977198499
CNN1D,0.5,3,2429,3,0.19419685306127987,0.9962947715109098,0.9963607471865881,0.5718946736651378,0.8302425106990015,0.7873238571351779
CNN1D,0.5,4,2429,3,0.09612916614254495,0.9987649238369699,0.998783756028188,0.4606141884427268,0.8830242510699001,0.8494720971026941
CNN1D,0.5,5,2429,3,0.05819029179576151,0.9983532317826266,0.9983788960695756,0.39591634703983425,0.8901569186875892,0.8596431462476717
CNN1D,0.5,6,2429,3,0.03908186517855227,0.9991766158913133,0.9991894555309189,0.4380039731186739,0.8773181169757489,0.8456526383251441
CNN1D,0.5,7,2429,3,0.028275124089138258,0.9991766158913133,0.9991894555309189,0.38902190212856513,0.8987161198288159,0.8646656655287048
CNN1D,0.5,8,2429,3,0.021321940290622378,0.9995883079456567,0.9995951400413876,0.33229075375407635,0.8944365192582026,0.8666664278725904
CNN1D,0.5,9,2429,3,0.017229678943989427,1.0,1.0,0.3749909249669773,0.8858773181169758,0.854769286599178
CNN1D,0.5,10,2429,3,0.01316561184964611,0.9995883079456567,0.9995951400413876,0.4206230088566216,0.8901569186875892,0.8527812032424078
CNN1D,1.0,1,4866,3,0.9439304336519629,0.8329223181257707,0.8283519048218858,0.7594267148179097,0.7617689015691869,0.7210342626939491
CNN1D,1.0,2,4866,3,0.1553377192842583,0.9940402794903411,0.9941319985260012,0.6616965795996016,0.7674750356633381,0.7286846232852172
