source_load,target_load,epoch,train_loss,train_acc,train_macro_f1,test_loss,test_acc,test_macro_f1
0,0,1,0.6995186060667038,0.8169642857142857,0.825869594734453,2.0746151907257286,0.4036144578313253,0.29183771443668394
0,1,1,0.6995186060667038,0.8169642857142857,0.825869594734453,2.30568944077635,0.36337625178826893,0.26860879763155265
0,2,1,0.6995186060667038,0.8169642857142857,0.825869594734453,2.122308363403593,0.4142857142857143,0.31499214825328686
0,3,1,0.6995186060667038,0.8169642857142857,0.825869594734453,2.2317391455428575,0.39372325249643364,0.3000065919060209
0,0,2,0.09318209241847603,0.982780612244898,0.9830397264030092,0.4317271895370031,0.8313253012048193,0.8243386111095798
0,1,2,0.09318209241847603,0.982780612244898,0.9830397264030092,0.38403375653046395,0.8454935622317596,0.8261280778445574
0,2,2,0.09318209241847603,0.982780612244898,0.9830397264030092,0.4393190431381975,0.8185714285714286,0.8106927607818598
0,3,2,0.09318209241847603,0.982780612244898,0.9830397264030092,2.2991440261736744,0.6918687589158345,0.6355060144945883
0,0,3,0.0596066955857131,0.9872448979591837,0.9879316166501233,0.028965570301894682,0.9954819277108434,0.9957333980793475
0,1,3,0.0596066955857131,0.9872448979591837,0.9879316166501233,0.05300958830868567,0.9885550786838341,0.9885462930247707
0,2,3,0.0596066955857131,0.9872448979591837,0.9879316166501233,0.12278539709746837,0.9642857142857143,0.9638600136700315
0,3,3,0.0596066955857131,0.9872448979591837,0.9879316166501233,1.3830728650799875,0.7888730385164051,0.7430900088828477
0,0,4,0.028649166302413355,0.9980867346938775,0.9981816516085045,0.01642310877431588,0.9984939759036144,0.9985713556814122
0,1,4,0.028649166302413355,0.9980867346938775,0.9981816516085045,0.05068414019039687,0.9971387696709585,0.9971427113628246
0,2,4,0.028649166302413355,0.9980867346938775,0.9981816516085045,0.29777464571808065,0.8471428571428572,0.8253572632892114
0,3,4,0.028649166302413355,0.9980867346938775,0.9981816516085045,2.0099516586080384,0.717546362339515,0.6749878987156006
0,0,5,0.017142126355700348,0.9987244897959183,0.9987932948692281,0.02162251358919115,0.9984939759036144,0.9985713556814122
0,1,5,0.017142126355700348,0.9987244897959183,0.9987932948692281,0.05987495838401996,0.9785407725321889,0.978264281698088
0,2,5,0.017142126355700348,0.9987244897959183,0.9987932948692281,0.0893076205253601,0.9871428571428571,0.9871797010225866
0,3,5,0.017142126355700348,0.9987244897959183,0.9987932948692281,2.1988619275593044,0.7203994293865906,0.6838120488746432
0,0,6,0.012653284744188493,0.9980867346938775,0.9981834661118295,0.09823406719131372,0.9608433734939759,0.9631930707906253
0,1,6,0.012653284744188493,0.9980867346938775,0.9981834661118295,0.021767996443443544,1.0,1.0
0,2,6,0.012653284744188493,0.9980867346938775,0.9981834661118295,0.2238039477595261,0.92,0.9081068033273916
0,3,6,0.012653284744188493,0.9980867346938775,0.9981834661118295,2.2875229263526737,0.6804564907275321,0.6321282679738562
0,0,7,0.03888972181522725,0.9904336734693877,0.9888409946693807,0.8393360915851881,0.6837349397590361,0.6303388479224618
0,1,7,0.03888972181522725,0.9904336734693877,0.9888409946693807,0.6957315363193755,0.7854077253218884,0.721905702484218
0,2,7,0.03888972181522725,0.9904336734693877,0.9888409946693807,1.2582280759646425,0.6028571428571429,0.5139151553151788
0,3,7,0.03888972181522725,0.9904336734693877,0.9888409946693807,3.118468903087494,0.442225392296719,0.38474597770138025
0,0,8,0.042691097993935855,0.9929846938775511,0.9927360616885876,0.08835950666612172,0.9668674698795181,0.968131359851989
0,1,8,0.042691097993935855,0.9929846938775511,0.9927360616885876,0.3308094180800628,0.8912732474964234,0.8799461042550133
0,2,8,0.042691097993935855,0.9929846938775511,0.9927360616885876,0.6201675061083266,0.7914285714285715,0.7445275035811058
0,3,8,0.042691097993935855,0.9929846938775511,0.9927360616885876,2.477706355987364,0.7161198288159771,0.6715308915951941
0,0,9,0.03202451405362511,0.9929846938775511,0.9933546197779659,0.025209832066916918,0.9939759036144579,0.994285131076313
0,1,9,0.03202451405362511,0.9929846938775511,0.9933546197779659,0.053790886591965376,0.9871244635193133,0.9872090736587081
0,2,9,0.03202451405362511,0.9929846938775511,0.9933546197779659,0.04623347183689475,0.9942857142857143,0.9942840977114955
0,3,9,0.03202451405362511,0.9929846938775511,0.9933546197779659,1.10226532915732,0.8601997146932953,0.8290971586349947
0,0,10,0.03459919444570432,0.9904336734693877,0.9909364235280667,0.3792162216296532,0.8689759036144579,0.8443142213501925
0,1,10,0.03459919444570432,0.9904336734693877,0.9909364235280667,0.5086749997283085,0.8311874105865522,0.8053681024109626
0,2,10,0.03459919444570432,0.9904336734693877,0.9909364235280667,0.5077794225620372,0.8,0.7406291716704827
0,3,10,0.03459919444570432,0.9904336734693877,0.9909364235280667,1.366431227838687,0.5734664764621968,0.52648686910841
1,0,1,0.6155522678515056,0.8399029714978775,0.848687889757341,1.5575711147253772,0.5602409638554217,0.46612518230232897
1,1,1,0.6155522678515056,0.8399029714978775,0.848687889757341,1.6772537302806738,0.592274678111588,0.5207092026214017
1,2,1,0.6155522678515056,0.8399029714978775,0.848687889757341,1.5783148712345532,0.5857142857142857,0.5160548110798846
