model,train_ratio,epoch,train_samples,source_loads,target_load,train_loss,train_acc,train_macro_f1,source_val_loss,source_val_acc,source_val_macro_f1
CNN1D,1.0,3,4866,0+1+2,3,0.05663064723636111,0.9985614467735306,0.9985841944749936,0.046411741492824836,0.9994979919678716,0.9995237852271375
CNN1D,1.0,4,4866,0+1+2,3,0.036205377504750134,0.9983559391697493,0.9983825993603433,0.020616614158233182,0.9994979919678716,0.9995237852271375
CNN1D,1.0,5,4866,0+1+2,3,0.03677508241102326,0.9983559391697493,0.9983619033285347,0.02358583205564301,1.0,1.0
CNN1D,1.0,6,4866,0+1+2,3,0.030836211461566183,0.9977394163584052,0.9976713218479111,0.011017614793646727,1.0,1.0
CNN1D,1.0,7,4866,0+1+2,3,0.015994253316094147,0.9991779695848746,0.9991910934535664,0.011102070923874595,1.0,1.0
CNN1D,1.0,8,4866,0+1+2,3,0.016543574805765352,0.998766954377312,0.9987874473621826,0.012401439511130022,1.0,1.0
CNN1D,1.0,9,4866,0+1+2,3,0.014486331870856718,0.9985614467735306,0.9985864563414015,0.009680474076079476,1.0,1.0
CNN1D,1.0,10,4866,0+1+2,3,0.020441620614099442,0.998766954377312,0.9987904826629552,0.00537362426730201,0.9994979919678716,0.9995237852271375
SE-ResNet1D,0.1,1,482,0+1+2,3,1.715792655697502,0.5124481327800829,0.5052264877804661,2.255688341940522,0.10185491608781334,0.018486949767532852
SE-ResNet1D,0.1,2,482,0+1+2,3,0.575549828437354,0.91701244813278,0.9083056357126384,1.74067878242039,0.49238502343730123,0.36142144191312253
SE-ResNet1D,0.1,3,482,0+1+2,3,0.23354416269484396,0.983402489626556,0.9835940981299371,0.8460203029585447,0.6372546757641643,0.5707428304690388
SE-ResNet1D,0.1,4,482,0+1+2,3,0.1330685541961203,0.979253112033195,0.9795598567588717,0.2399814033547831,0.9410688862131543,0.9317166573604855
SE-ResNet1D,0.1,5,482,0+1+2,3,0.07535009716803602,0.9896265560165975,0.9897692869819397,0.10437960093738403,0.9751299495960545,0.9751833349268471
SE-ResNet1D,0.1,6,482,0+1+2,3,0.06188664079887244,0.9979253112033195,0.9979589711548474,0.037351275466691036,0.9937001223779237,0.9937287279835005
SE-ResNet1D,0.1,7,482,0+1+2,3,0.07165905759047671,0.9813278008298755,0.9816524300441827,0.0685533386052286,0.9741741624170913,0.9737539375390615
SE-ResNet1D,0.1,8,482,0+1+2,3,0.04139966390934228,0.995850622406639,0.9959179423096949,0.11625727210860536,0.9776148534460752,0.9778869165687513
SE-ResNet1D,0.1,9,482,0+1+2,3,0.02417784212041198,1.0,1.0,0.06933772492107355,0.9764077400958833,0.9750017680152588
SE-ResNet1D,0.1,10,482,0+1+2,3,0.02590158682208338,0.9937759336099585,0.9936809195545067,0.03374613235668086,0.9945030479572079,0.9947513294488411
SE-ResNet1D,0.3,1,1456,0+1+2,3,0.8503318566542405,0.7884615384615384,0.7973069975446248,0.9742768353843448,0.6131755019259544,0.5238192206282629
SE-ResNet1D,0.3,2,1456,0+1+2,3,0.09528175411889186,0.9835164835164835,0.9837523089494227,0.360474812816905,0.8794457166495535,0.8652965524319937
SE-ResNet1D,0.3,3,1456,0+1+2,3,0.04033398415361132,0.9958791208791209,0.9959550305313016,0.144000388229345,0.9446576331896152,0.9423369865493475
SE-ResNet1D,0.3,4,1456,0+1+2,3,0.03870590096646613,0.9917582417582418,0.9917087725681526,0.04237605485156063,0.9924950158286938,0.9921014926881746
SE-ResNet1D,0.3,5,1456,0+1+2,3,0.04390378241109979,0.9896978021978022,0.9897881334219347,0.14061274799225035,0.9535735092423648,0.9527417439704746
SE-ResNet1D,0.3,6,1456,0+1+2,3,0.024091271079749198,0.9951923076923077,0.9952631216448866,0.7934017423694278,0.8680927675549942,0.8346992842135977
SE-ResNet1D,0.3,7,1456,0+1+2,3,0.012176534345189293,0.9986263736263736,0.9986486409367765,0.011670675226117084,0.9995231282784931,0.9995237852271375
SE-ResNet1D,0.3,8,1456,0+1+2,3,0.023466820186413415,0.9972527472527473,0.9973017402641574,0.016225735031012815,0.9936498497566806,0.9937994190094828
SE-ResNet1D,0.3,9,1456,0+1+2,3,0.005902272567234851,0.9993131868131868,0.9993243166124521,0.006027199170284316,0.9984939759036146,0.9985641828052403
SE-ResNet1D,0.3,10,1456,0+1+2,3,0.002972309613231938,1.0,1.0,0.001516188823338727,0.9994979919678716,0.9995237852271375
SE-ResNet1D,0.5,1,2429,0+1+2,3,0.6123228780879264,0.8579662412515439,0.8621591714089398,0.26000173771995033,0.9267681475954914,0.9079401046099038
SE-ResNet1D,0.5,2,2429,0+1+2,3,0.05712644430241648,0.9897076986414162,0.9898164168734048,0.021675775061766763,0.996511080085722,0.9966724985969476
SE-ResNet1D,0.5,3,2429,0+1+2,3,0.023039879304187785,0.9958830794565665,0.9959505425393103,0.6931979598498618,0.8303924342372556,0.8033742043844511
SE-ResNet1D,0.5,4,2429,0+1+2,3,0.029470707639168446,0.9925895430218197,0.9927075770529147,0.2753070927529337,0.890845277697752,0.8700220835665832
SE-ResNet1D,0.5,5,2429,0+1+2,3,0.00681084913181309,0.9995883079456567,0.9995951400413876,0.004711054841024856,0.998995983935743,0.9990440949737898
SE-ResNet1D,0.5,6,2429,0+1+2,3,0.008876916992785958,0.9983532317826266,0.9983788977285929,0.00858912425970595,0.9969879518072289,0.9971416735708368
SE-ResNet1D,0.5,7,2429,0+1+2,3,0.004656281856342248,1.0,1.0,0.004281230865565791,0.9994979919678716,0.9995237852271375
SE-ResNet1D,0.5,8,2429,0+1+2,3,0.007637348476936906,0.9979415397282833,0.9979781489163866,0.021600256769897908,0.9932293818642647,0.9932714812564202
SE-ResNet1D,0.5,9,2429,0+1+2,3,0.006663640410654299,0.9991766158913133,0.9991902817417924,0.0582886366005829,0.9810073155897655,0.9809069350822712
SE-ResNet1D,0.5,10,2429,0+1+2,3,0.01072863456345968,0.9987649238369699,0.9987854151268785,0.01755570035714891,0.9965871702629032,0.9966587403257776
SE-ResNet1D,1.0,1,4866,0+1+2,3,0.3292956786223316,0.9245787094122483,0.9267812240621757,0.03107057451199685,0.9950050559893365,0.9951818158887237
SE-ResNet1D,1.0,2,4866,0+1+2,3,0.04305704320488866,0.9901356350184957,0.9902912215239908,0.004064564667338466,0.9994979919678716,0.9995237852271375
SE-ResNet1D,1.0,3,4866,0+1+2,3,0.024305893825592936,0.9938347718865598,0.9939397254828277,1.3903682686152832,0.819527043387119,0.7803978388363717
SE-ResNet1D,1.0,4,4866,0+1+2,3,0.04283902516678141,0.9913686806411838,0.9914983158554728,0.11799849500377597,0.9468940056157596,0.9466415504531973
SE-ResNet1D,1.0,5,4866,0+1+2,3,0.044261704790423156,0.9878750513769009,0.9879485598567566,0.009610331779802335,0.997515096149979,0.997360638463341
SE-ResNet1D,1.0,6,4866,0+1+2,3,0.012525658207025687,0.9989724619810934,0.9989693109919102,0.3462392633033546,0.8999221205278913,0.8670879933645064
SE-ResNet1D,1.0,7,4866,0+1+2,3,0.021546522058176004,0.9948623099054665,0.9947987997932397,0.02935855296514685,0.9930731140380037,0.9932667363883686
SE-ResNet1D,1.0,8,4866,0+1+2,3,0.027719269473330747,0.9942457870941225,0.9943306511700521,0.0038483304123255596,1.0,1.0
SE-ResNet1D,1.0,9,4866,0+1+2,3,0.018165422494010673,0.9950678175092479,0.9951487652812055,0.005508030697495329,0.9984939759036146,0.9985641828052403
SE-ResNet1D,1.0,10,4866,0+1+2,3,0.01515154750995488,0.9965063707357172,0.996545881416734,0.004216596014004645,0.9984939759036146,0.9985641828052403
