model,train_ratio,num_seeds,train_samples,target_acc_mean,target_acc_std,target_macro_f1_mean,target_macro_f1_std,source_val_acc_mean,source_val_acc_std,source_val_macro_f1_mean,source_val_macro_f1_std,selected_epoch_mean,selected_epoch_std
CNN1D,0.1,3,482,0.8311935067176819,0.05499713495373726,0.7982354164123535,0.06685597449541092,0.9457685351371765,0.007405959069728851,0.9368348717689514,0.009801887907087803,9.333333015441895,0.5773502588272095
CNN1D,0.3,3,1456,0.8744650483131409,0.016202287748456,0.8398851752281189,0.017626101151108742,0.9972726702690125,0.004317596089094877,0.997283399105072,0.004299452994018793,9.333333015441895,1.154700517654419
CNN1D,0.5,3,2429,0.8744650483131409,0.021587349474430084,0.8427006602287292,0.02298606000840664,0.9991884231567383,0.0010028062388300896,0.9992038607597351,0.0009953506523743272,8.0,1.0
CNN1D,1.0,3,4866,0.8497384190559387,0.04658310487866402,0.8088571429252625,0.05719397962093353,0.9998326301574707,0.0002898242382798344,0.9998412132263184,0.0002749579434748739,7.0,1.7320507764816284
SE-ResNet1D,0.1,3,482,0.8492629528045654,0.036266885697841644,0.8201454281806946,0.03482164070010185,0.9870322346687317,0.0069411383010447025,0.9871277809143066,0.007007245905697346,7.666666507720947,1.154700517654419
SE-ResNet1D,0.3,3,1456,0.883499801158905,0.06907034665346146,0.8642371296882629,0.08619425445795059,0.9948465824127197,0.00488382438197732,0.994879424571991,0.004847647622227669,7.333333492279053,1.154700517654419
SE-ResNet1D,0.5,3,2429,0.907275378704071,0.022824525833129883,0.8966954350471497,0.02886328659951687,0.998368501663208,0.0015420770505443215,0.9984126687049866,0.0015305363340303302,7.0,3.0
SE-ResNet1D,1.0,3,4866,0.8787446618080139,0.042245618999004364,0.8606367111206055,0.04487907513976097,0.9991717338562012,0.0005651607061736286,0.9992062449455261,0.0005499502876773477,8.333333015441895,1.5275251865386963
