epoch,train_loss,train_acc,train_macro_f1,test_loss,test_acc,test_macro_f1
1,0.7953147279380398,0.8498005523166615,0.8441529016782413,0.17198713263968482,0.992040520984081,0.9921240859207108
2,0.09328809092932956,0.9976986805768641,0.9977230085566621,0.037165253928575434,0.9989146164978292,0.9989272753535158
3,0.031237398322537913,0.9987726296409942,0.9987868243693354,0.02437818737083294,1.0,1.0
4,0.01795289145917473,0.9993863148204971,0.9993938186154232,0.00961527137447003,0.9996382054992764,0.9996428560040052
5,0.01157872242456969,0.9995397361153728,0.9995453374148836,0.01075317142746922,0.998191027496382,0.9982116261215135
6,0.00749796181379944,0.9996931574102486,0.9996968544775132,0.008927930351993671,0.9989146164978292,0.9989266410007775
7,0.005960460887417705,0.9998465787051243,0.9998487132905145,0.004096589066349671,0.9996382054992764,0.9996428560040052
8,0.004886360297190444,1.0,1.0,0.004120383107550874,0.9996382054992764,0.9996428560040052
9,0.004533682105535239,0.9996931574102486,0.9996970830065008,0.06284609011609603,0.9837192474674384,0.9837257741283715
10,0.003976746718334929,1.0,1.0,0.003898572757255216,0.9996382054992764,0.9996428560040052
11,0.0024444844964383004,1.0,1.0,0.00291825342986075,0.9996382054992764,0.9996428560040052
12,0.0032580673273315012,0.9998465787051243,0.9998487132905145,0.001702171354621983,1.0,1.0
13,0.002263523052278226,1.0,1.0,0.0015450152508710954,1.0,1.0
14,0.0018226134738833142,1.0,1.0,0.001655332847058978,1.0,1.0
15,0.0022725763637258182,1.0,1.0,0.003102635942007295,0.9996382054992764,0.9996428560040052
16,0.0018119585133652338,1.0,1.0,0.001509675133839255,0.9996382054992764,0.9996428560040052
17,0.0011547075616108354,1.0,1.0,0.0008230166092438167,1.0,1.0
18,0.001459879414245587,1.0,1.0,0.0015879741188559234,0.9996382054992764,0.9996428560040052
19,0.0012072602448894678,1.0,1.0,0.0011136692698624432,0.9996382054992764,0.9996428560040052
20,0.0009774304813695096,1.0,1.0,0.0021708187808561668,0.9996382054992764,0.9996428560040052
21,0.001198818879189863,1.0,1.0,0.0006539432227297507,1.0,1.0
22,0.002890949399988091,0.9998465787051243,0.999848484761527,0.13773425264357797,0.9609261939218524,0.9614280856368804
23,0.004189088293352662,0.9995397361153728,0.9995342357932138,0.24895461182230555,0.9052098408104197,0.9036644539165495
24,0.0029715518991515182,1.0,1.0,0.0008515207270125275,1.0,1.0
25,0.001579286878020224,1.0,1.0,0.0008796386517767623,1.0,1.0
26,0.0012555097880761529,0.9998465787051243,0.999848484761527,0.0008592478732656628,0.9996382054992764,0.9996428560040052
27,0.0007773629493312553,1.0,1.0,0.0004730926491417848,1.0,1.0
28,0.0007912984545305189,1.0,1.0,0.0008048445334073086,0.9996382054992764,0.9996428560040052
29,0.0007290742560987078,1.0,1.0,0.0005049989038172641,1.0,1.0
30,0.0007077093256080776,1.0,1.0,0.0006209832729175168,1.0,1.0
