seed,model,train_ratio,selected_epoch,train_samples,source_loads,source_val_acc,source_val_macro_f1,source_val_loss,target_load,target_test_acc,target_test_macro_f1,target_test_loss,elapsed_seconds,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift
42,CNN1D,0.1,10,472,0+1+2,0.8440770644400616,0.8093100432051378,0.6950211790248799,3,0.6833095577746077,0.6451671486408328,1.0814152652884006,3.6322641372680664,True,0.8,1.2,10.0,30.0,64
42,CNN1D,0.3,8,1445,0+1+2,0.9864967739340768,0.9862998446486775,0.18901309035362734,3,0.8288159771754636,0.7871775844819057,0.5926725617616561,4.470313310623169,True,0.8,1.2,10.0,30.0,64
42,CNN1D,0.5,9,2423,0+1+2,0.9980673768033507,0.9980879680323778,0.056407135975888034,3,0.8787446504992867,0.8458584081607722,0.41475382977605035,6.778548002243042,True,0.8,1.2,10.0,30.0,64
42,CNN1D,1.0,5,4866,0+1+2,0.9994979919678716,0.9995237852271375,0.04920386616968988,3,0.8987161198288159,0.8655524877568841,0.39060608240192524,12.47105598449707,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM-Attention,0.1,10,472,0+1+2,0.8743366722561614,0.8568887753030974,0.6728180312289918,3,0.7874465049928673,0.7757026838297995,0.8300335305648592,3.044933795928955,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM-Attention,0.3,10,1445,0+1+2,0.9780129100091353,0.9781051579908325,0.08845892422869478,3,0.920114122681883,0.9055742206703744,0.24647015494463193,5.388359785079956,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM-Attention,0.5,7,2423,0+1+2,0.9863710923809688,0.9863983794975569,0.06183195416335377,3,0.8972895863052782,0.8918243869309317,0.26183723893811056,8.205096244812012,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM-Attention,1.0,10,4866,0+1+2,0.9936749860673021,0.9937964889774765,0.01702036080466468,3,0.9386590584878745,0.9387914776166528,0.15047742120161675,15.081984519958496,True,0.8,1.2,10.0,30.0,64
42,MS-CNN-BiLSTM-Attention,0.1,9,472,0+1+2,0.6083633614777935,0.5313399035061509,1.3091755550173019,3,0.5463623395149786,0.4939593079308725,1.4527274842099014,4.000722646713257,True,0.8,1.2,10.0,30.0,64
42,MS-CNN-BiLSTM-Attention,0.3,9,1445,0+1+2,0.9799971683176606,0.9801324489437233,0.09183498618549163,3,0.8616262482168331,0.843015493066072,0.33116983018613577,7.503183126449585,True,0.8,1.2,10.0,30.0,64
