model,train_ratio,selected_epoch,train_samples,source_loads,source_val_acc,source_val_macro_f1,source_val_loss,target_load,target_test_acc,target_test_macro_f1,target_test_loss,elapsed_seconds,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift
CNN1D,0.1,9,482,0+1+2,0.9543194236172156,0.9479997630248076,0.36153283301606726,3,0.7689015691868759,0.7219303033072635,0.8128899325232704,4.026907920837402,True,0.8,1.2,10.0,30.0,64
CNN1D,0.3,10,1456,0+1+2,1.0,1.0,0.051510407752574795,3,0.8630527817403709,0.8263979096677865,0.389159273180829,4.305056571960449,True,0.8,1.2,10.0,30.0,64
CNN1D,0.5,8,2429,0+1+2,1.0,1.0,0.035333852697512644,3,0.8815977175463623,0.8498180310621191,0.35360041610397047,6.272355079650879,True,0.8,1.2,10.0,30.0,64
CNN1D,1.0,5,4866,0+1+2,0.9994979919678716,0.9995237852271375,0.020728015903251167,3,0.8987161198288159,0.8591868011610447,0.4190080640319411,11.776853561401367,True,0.8,1.2,10.0,30.0,64
SE-ResNet1D,0.1,7,482,0+1+2,0.9908137557382606,0.9908847735918909,0.042598835103163896,3,0.8159771754636234,0.788711337142493,0.6690636035307349,6.196905612945557,True,0.8,1.2,10.0,30.0,64
SE-ResNet1D,0.3,8,1456,0+1+2,0.9942530842766119,0.994273161383218,0.0216832116841177,3,0.9358059914407989,0.9330998081024415,0.15278834242708503,10.68816089630127,True,0.8,1.2,10.0,30.0,64
SE-ResNet1D,0.5,8,2429,0+1+2,1.0,1.0,0.004468433882995061,3,0.8559201141226819,0.8274140838964421,0.5105832635150018,15.681960344314575,True,0.8,1.2,10.0,30.0,64
SE-ResNet1D,1.0,8,4866,0+1+2,0.9994979919678716,0.9995237852271375,0.0039323685937244736,3,0.9614835948644793,0.9612553071427531,0.11354471377893212,28.081984519958496,True,0.8,1.2,10.0,30.0,64
