load_hp,epoch,train_loss,train_acc,train_macro_f1,test_loss,test_acc,test_macro_f1
0,1,1.5917130878993444,0.6575255102040817,0.64458241287581,1.5575837198510227,0.5572289156626506,0.527657527866829
0,2,0.7639001559238044,0.920280612244898,0.92349101231061,0.7442786018532442,0.7816265060240963,0.7470840455141755
0,3,0.38189766479998216,0.982780612244898,0.9833668966811377,0.2697305846286107,0.983433734939759,0.9840364155721744
0,4,0.19130650345160036,0.9923469387755102,0.9926581915017882,0.15154115909553437,0.9909638554216867,0.9913361595776984
0,5,0.11191902066371878,0.9942602040816326,0.9945060821956563,0.08638621381966465,0.9984939759036144,0.9985713556814122
0,6,0.08140325500648848,0.9968112244897959,0.9969564134187582,0.08116322037685349,0.9924698795180723,0.9928480204342274
0,7,0.05681642342586907,0.9968112244897959,0.9969618188674939,0.04912805808595864,0.9984939759036144,0.9985713556814122
0,8,0.042525412932950625,0.9980867346938775,0.9981816516085045,0.032247237457209324,0.9984939759036144,0.9985713556814122
0,9,0.03574900032610309,0.9993622448979592,0.9993957483319186,0.02957258018923093,0.9984939759036144,0.9985713556814122
0,10,0.028546828586532146,0.9987244897959183,0.9987878287985132,0.020613538460379624,0.9984939759036144,0.9985713556814122
1,1,1.5725259745460773,0.5845967252880534,0.5461147381301602,1.502257136742615,0.5722460658082976,0.49846318955086255
1,2,0.7398598936921253,0.9326864766525167,0.931105879312965,0.5882742891410561,0.9027181688125894,0.8872709830853974
1,3,0.33042448300025623,0.9945421467556095,0.9945150090009903,0.21570233155430985,0.9828326180257511,0.9827302631578947
1,4,0.16770705934037866,0.9987871437234688,0.9987859922343576,0.11639141577038813,1.0,1.0
1,5,0.09212928122556738,1.0,1.0,0.06391137689138857,1.0,1.0
1,6,0.05665411450886018,1.0,1.0,0.04266702361372919,1.0,1.0
1,7,0.040090214980685976,1.0,1.0,0.028409944812584673,1.0,1.0
1,8,0.03340948425716816,1.0,1.0,0.024821730550426527,1.0,1.0
1,9,0.02104019625660251,1.0,1.0,0.016560767011154703,1.0,1.0
1,10,0.018466422863512456,1.0,1.0,0.014775530868163265,1.0,1.0
2,1,1.5617632079370243,0.593086719223772,0.5517586286967712,1.4866600370407104,0.61,0.5433934110157577
2,2,0.7259531985672406,0.9411764705882353,0.9377237630514829,0.5588616535493306,0.9728571428571429,0.9724410160047325
2,3,0.3177804023009347,0.9975742874469375,0.9975753689432842,0.1923838803597859,1.0,1.0
2,4,0.15914644817824505,0.9987871437234688,0.9987878287985132,0.09875359526702336,1.0,1.0
2,5,0.08968168295120166,0.9993935718617344,0.9993957483319184,0.056473745022501264,1.0,1.0
2,6,0.0594760635093966,1.0,1.0,0.03908610965524401,1.0,1.0
2,7,0.04528169904136889,1.0,1.0,0.03501259356737137,1.0,1.0
2,8,0.033914607653045305,0.9993935718617344,0.9993957483319184,0.022188941623483387,1.0,1.0
2,9,0.02252871312625738,1.0,1.0,0.016238959154912403,1.0,1.0
2,10,0.01907396334883677,1.0,1.0,0.013724818761859622,1.0,1.0
3,1,1.5472213483029935,0.6973365617433414,0.6959477491106684,1.396165949556865,0.6604850213980028,0.5754146022778218
3,2,0.7500879343139057,0.9630750605326877,0.9615726426819892,0.5295130533090502,1.0,1.0
3,3,0.3504803592009925,0.9969733656174334,0.9969621372819137,0.21346272604696762,1.0,1.0
3,4,0.15839473275382063,0.9993946731234867,0.9993939338285933,0.10190219610674404,1.0,1.0
3,5,0.08416346924212596,1.0,1.0,0.05359440898993046,1.0,1.0
3,6,0.052936393325611696,1.0,1.0,0.03607179584265946,1.0,1.0
3,7,0.04094369299980399,1.0,1.0,0.02650457903338907,1.0,1.0
3,8,0.03054749156567144,1.0,1.0,0.02089916190368983,1.0,1.0
3,9,0.02346613915686746,1.0,1.0,0.016053852052580614,1.0,1.0
3,10,0.019079145459011737,1.0,1.0,0.012187945926176669,1.0,1.0
