target_load,source_loads,epoch,train_loss,train_acc,train_macro_f1,mean_source_val_acc,mean_source_val_macro_f1,target_test_loss,target_test_acc,target_test_macro_f1
0,1+2+3,1,0.9638267563208185,0.8206060606060606,0.8157855303295813,0.9694815703705517,0.9615484741532349,0.4706442975495235,0.8885542168674698,0.8625924908356339
0,1+2+3,2,0.14615687824860968,0.9973737373737374,0.9973678653061846,0.9976156413924654,0.997616006811409,0.15702099227402583,0.9774096385542169,0.9788520301030028
0,1+2+3,3,0.04405143121125722,0.9997979797979798,0.9997981828308777,1.0,1.0,0.09104074746460082,0.9939759036144579,0.9942738931092198
0,1+2+3,4,0.02126579442221408,1.0,1.0,1.0,1.0,0.0546484032354082,0.9939759036144579,0.9942517015733536
0,1+2+3,5,0.013480492709863066,0.9997979797979798,0.9997981828308777,1.0,1.0,0.031589076944054606,0.9984939759036144,0.9985713556814122
0,1+2+3,6,0.009707030256212962,1.0,1.0,1.0,1.0,0.026934728284467416,0.9984939759036144,0.9985713556814122
0,1+2+3,7,0.006670534625047385,1.0,1.0,0.9995231282784931,0.9995237852271375,0.07378548378102391,0.9819277108433735,0.9823760976021614
0,1+2+3,8,0.006650088314681944,1.0,1.0,1.0,1.0,0.02938257006041885,0.9984939759036144,0.9985713556814122
0,1+2+3,9,0.004785458418455991,1.0,1.0,1.0,1.0,0.017620188947093773,0.9984939759036144,0.9985713556814122
0,1+2+3,10,0.0034265023206520562,1.0,1.0,1.0,1.0,0.020372807912259216,0.9984939759036144,0.9985713556814122
1,0+2+3,1,0.9569491347289227,0.8305606900800986,0.8262899681618066,0.971940543916035,0.9701597624389334,0.34417141270484025,0.9055793991416309,0.878394273879484
1,0+2+3,2,0.16534229540425813,0.9932224276032039,0.9933363331283159,0.9959839357429718,0.9961117130131214,0.12459735621902053,0.9713876967095851,0.9704136792099529
1,0+2+3,3,0.05718496387365737,0.9985623331279524,0.998585210961237,0.9994979919678716,0.9995237852271375,0.033128034797775555,1.0,1.0
1,0+2+3,4,0.04023286176841223,0.9979461901827891,0.9979768757633266,0.9984939759036146,0.9985641828052403,0.01800258497631601,1.0,1.0
1,0+2+3,5,0.020028976977183654,0.9987677141096735,0.9987864170990026,1.0,1.0,0.01782114627652499,1.0,1.0
1,0+2+3,6,0.013671932887751896,0.9991784760731156,0.9991917025572297,0.9929718875502008,0.9930990850004934,0.039244584999685424,0.9928469241773963,0.9927899434941688
1,0+2+3,7,0.01129402338075158,0.9997946190182789,0.9997983852528567,1.0,1.0,0.005927711165642022,1.0,1.0
1,0+2+3,8,0.008808112478514525,0.9995892380365579,0.9995963634030979,0.9994979919678716,0.9995237852271375,0.004857345789308541,1.0,1.0
